population	links	time	detected	infected	error_detected	error_infected
282667	3000	71	142.208	9904.04	24.2068	541.745
282667	3000	72	137	9744.67	21.6393	530.382
282667	3000	73	130.458	9555.38	21.7797	525.476
282667	3000	74	125.333	9365.42	21.0162	522.949
282667	3000	75	120.75	9188.04	21.3084	507.82
282667	3000	76	116.667	9003.75	18.8849	500.132
282667	3000	77	111.25	8841.92	19.1889	487.053
282667	3000	78	104.792	8686.17	17.4679	477.638
282667	3000	79	97.5	8502.67	16.6312	465.267
282667	3000	80	94.7917	8328.79	15.2922	469.544
282667	3000	81	91.25	8159.71	16.2913	455.387
282667	3000	82	85.5	7984.75	15.0083	447.183
282667	3000	83	83.125	7816.42	15.645	440.372
282667	3000	84	81.2083	7644.25	14.4015	436.571
282667	3000	85	72.375	7499.96	13.0683	424.021
282667	3000	86	73.25	7345.58	12.314	414.896
282667	3000	87	70.75	7174.75	13.5178	408.674
282667	3000	88	66.2917	7023.5	13.2038	399.382
282667	3000	89	65.1667	6873.71	11.5611	394.254
282667	3000	90	62.2917	6716.08	11.1109	381.155
282667	3000	91	59.7083	6574.62	12.0681	376.042
282667	3000	92	55.5833	6429.62	9.12553	371.307
282667	3000	93	56.2083	6281.04	10.4901	362.595
282667	3000	94	51.8333	6152.46	8.72055	361.103
282667	3000	95	49.25	6007.62	9.73534	347.709
282667	3000	96	46.625	5876.83	9.9009	339.197
282667	3000	97	47.2083	5737.58	8.19331	329.754
282667	3000	98	43.1667	5612.58	7.00225	324.338
282667	3000	99	41.9167	5491.46	8.40458	317.38
282667	3000	100	39.4583	5374.08	8.27613	313.603
282667	3000	101	38.8333	5246.5	7.54292	302.188
282667	3000	102	38.2083	5115.21	5.05103	297.568
282667	3000	103	34.7917	5000.88	6.63304	291.147
282667	3000	104	34.6667	4890.17	6.96937	287.521
282667	3000	105	30	4778.88	4.51411	282.227
282667	3000	106	31.625	4666.54	6.13919	271.755
282667	3000	107	30.8333	4562.04	4.55045	275.379
282667	3000	108	30.75	4468.71	5.77521	261.408
282667	3000	109	27.4583	4364.58	4.01122	256.036
282667	3000	110	27.875	4253.17	4.57127	249.136
282667	3000	111	25.5	4162.67	3.95887	246.366
282667	3000	112	25.8333	4067.62	4.47955	245.141
282667	3000	113	23.4583	3969.5	4.03888	241.784
282667	3000	114	23.6667	3879.79	3.23025	235.534
282667	3000	115	23.6667	3785.54	4.33747	229.064
282667	3000	116	20.6667	3704.29	2.90827	231.541
282667	3000	117	21.4583	3615.38	3.42945	226.356
282667	3000	118	19.5	3527.21	2.98697	226.305
282667	3000	119	20.0833	3451.42	2.88966	230.982
282667	3000	120	19.5417	3379.88	3.19191	228.369
282667	3000	121	19.25	3300.96	2.95711	227.475
282667	3000	122	18.4167	3231.96	3.54507	222.352
282667	3000	123	14.8333	3164.12	2.07945	221.877
282667	3000	124	16.875	3093.67	1.99628	216.498
282667	3000	125	16.2917	3020.42	2.4845	210.994
282667	3000	126	15.4583	2959.83	2.11697	209.442
282667	3000	127	15.7917	2905.71	2.37127	204.343
282667	3000	128	15.375	2838.46	2.46293	205.96
282667	3000	129	14.9167	2773.21	1.89837	204.386
282667	3000	130	14.75	2722.38	2.92873	200.534
282667	3000	131	14.375	2660.67	2.26878	196.097
282667	3000	132	13.875	2599	2.3068	195.759
282667	3000	133	13.5833	2541.67	1.97386	195.545
282667	3000	134	13.8333	2482.92	2.15828	193.811
282667	3000	135	13	2436.62	1.87656	192.353
282667	3000	136	11.6667	2379.62	1.92657	185.785
282667	3000	137	12.125	2319.79	2.21759	180.188
282667	3000	138	10.7083	2277.29	1.52223	175.497
282667	3000	139	10.5833	2227.88	1.7889	169.987
282667	3000	140	10.2917	2170.46	1.37827	167.134
282667	3000	141	10.875	2125.04	1.52604	163.164
282667	3000	142	9.91667	2085.62	1.4104	165.348
282667	3000	143	11.25	2044.79	1.25551	162.079
282667	3000	144	10.2917	2000.46	1.77548	162.92
282667	3000	145	9.58333	1968.58	1.80054	162.893
282667	3000	146	9.16667	1918.25	1.31198	156.987
282667	3000	147	8.75	1864.58	1.16345	153.031
282667	3000	148	9	1827.17	1.63049	149.646
282667	3000	149	8.41667	1786.42	1.46367	146.902
282667	3000	150	8.375	1747.5	1.54192	144.62
282667	3000	151	7.04167	1709.08	1.14067	140.803
282667	3000	152	7.375	1667.17	1.11183	138.805
282667	3000	153	7.375	1628.08	1.59952	136.628
282667	3000	154	8.45833	1592.12	1.62184	134.467
282667	3000	155	6.54167	1554.12	1.22595	132.513
282667	3000	156	7.75	1519.88	1.44131	128.562
282667	3000	157	6.45833	1490.79	1.1678	128.01
282667	3000	158	5.66667	1453.71	1.1357	125.712
282667	3000	159	5.375	1423.25	1.4392	122.271
282667	3000	160	5.625	1395.33	1.29675	119.933
282667	3000	161	6.125	1368.42	1.03062	119.728
282667	3000	162	5.875	1340.96	1.06385	118.679
282667	3000	163	7.20833	1315.62	1.1678	114.682
282667	3000	164	5.5	1293	1.25966	112.877
282667	3000	165	5.29167	1263.58	1.1284	109.1
282667	3000	166	4.83333	1235.33	1.15394	106.921
282667	3000	167	5.83333	1214.96	1.48609	104.432
