beta	population	links	attackRate	error
3.5	4.66174e+06	35525	8717.46	516.58
3.5	4.82206e+06	37216	8172.58	851.225
3.5	5.05282e+06	38908	7669.21	1044.28
3.5	5.35506e+06	40600	8462.38	714.815
3.5	5.53195e+06	42291	8499.21	711.656
3.5	5.68707e+06	43983	7692.88	1066.03
3.5	5.84476e+06	45675	8756.04	520.814
3.5	5.98567e+06	47366	8773.21	519.789
3.5	6.13119e+06	49058	8000.12	976.41
3.5	6.21772e+06	50750	8517.79	723.245
3.5	6.26408e+06	52441	8784.21	520.474
3.5	6.30383e+06	54133	8797.88	524.651
3.5	6.35252e+06	55825	8773.88	521.858
3.5	6.43541e+06	57517	8520.75	715.669
3.75	320647	3383	2687.92	19.3153
3.75	549654	5075	2693.96	18.8261
3.75	747440	6766	2750.54	50.3952
3.75	961081	8458	4027.5	590.408
3.75	1.21668e+06	10150	5917.04	770.071
3.75	1.40578e+06	11841	5780.46	974.509
3.75	1.57934e+06	13533	6184.88	1014.64
3.75	1.83623e+06	15225	6904.62	1001.81
3.75	2.05858e+06	16916	7257.17	952.778
3.75	2.33126e+06	18608	7372.54	979.302
3.75	2.63366e+06	20300	8258.5	684.349
3.75	2.88785e+06	21991	8066.33	831.243
3.75	3.06082e+06	23683	8358.42	701.327
3.75	3.30626e+06	25375	7631.38	1034.71
3.75	3.50389e+06	27066	7866.71	953.929
3.75	3.79999e+06	28758	8202.62	845.629
3.75	4.02734e+06	30450	8489.29	709.716
3.75	4.23921e+06	32141	8507.75	715.229
3.75	4.45972e+06	33833	9034.75	26.7189
3.75	4.66174e+06	35525	8274.92	860.759
3.75	4.82206e+06	37216	8551.58	722.688
3.75	5.05282e+06	38908	8304.67	870.239
3.75	5.35506e+06	40600	7772.46	1067.69
3.75	5.53195e+06	42291	8050.71	983.386
3.75	5.68707e+06	43983	8067.71	989.797
3.75	5.84476e+06	45675	8885.67	524.463
3.75	5.98567e+06	47366	7791.92	1070.58
3.75	6.13119e+06	49058	8607.71	722.583
3.75	6.21772e+06	50750	7027	1248.03
3.75	6.26408e+06	52441	8899.08	526.934
3.75	6.30383e+06	54133	8621.5	725.814
3.75	6.35252e+06	55825	8316.12	877.078
3.75	6.43541e+06	57517	8623.08	730.808
4	320647	3383	2696.17	23.4612
4	549654	5075	2699.12	26.7325
4	747440	6766	2873.33	161.807
4	961081	8458	4728.29	703.154
4	1.21668e+06	10150	6447.83	782.41
4	1.40578e+06	11841	6833.83	870.47
4	1.57934e+06	13533	7292.29	837.622
4	1.83623e+06	15225	7019.12	1017.64
4	2.05858e+06	16916	8397.54	484.074
4	2.33126e+06	18608	7763.29	927.346
4	2.63366e+06	20300	8361.96	699.858
4	2.88785e+06	21991	7894.46	954.683
4	3.06082e+06	23683	8212.88	857.511
4	3.30626e+06	25375	8232.79	858.532
4	3.50389e+06	27066	8543.25	714.166
4	3.79999e+06	28758	8823.88	521.401
4	4.02734e+06	30450	7768.71	1073.19
4	4.23921e+06	32141	8585.38	735.929
4	4.45972e+06	33833	8078.96	991.039
4	4.66174e+06	35525	8350.88	878.873
4	4.82206e+06	37216	8624.83	731.502
4	5.05282e+06	38908	8928.92	540.632
4	5.35506e+06	40600	8636.25	731.594
4	5.53195e+06	42291	8387.38	886.365
4	5.68707e+06	43983	8415.08	875.172
4	5.84476e+06	45675	8953.71	539.796
4	5.98567e+06	47366	8695.25	731.805
4	6.13119e+06	49058	8421.08	877.218
4	6.21772e+06	50750	8153.29	1001.12
4	6.26408e+06	52441	7879.96	1085.04
4	6.30383e+06	54133	7887	1086.66
4	6.35252e+06	55825	8689.25	747.964
4	6.43541e+06	57517	8719.96	743.578
