beta	population	links	attackRate	error
4	3.0033e+06	16830	93830.8	114.465
4	3.11534e+06	17765	94628.4	96.4116
4	3.22229e+06	18700	95329.5	98.5814
4	3.33611e+06	19635	95940.3	133.179
4	3.44043e+06	20570	96410.7	107.711
4	3.53627e+06	21505	96942.7	104.872
4	3.65053e+06	22440	97419.8	91.0588
4	3.77772e+06	23375	97894.7	95.3105
4	3.95373e+06	24310	98601.2	99.2955
4	4.19736e+06	25245	99408	91.0201
4	4.34087e+06	26180	99890.3	102.28
4	4.52722e+06	27115	100210	89.4462
4	4.75704e+06	28050	100817	87.3825
4	4.90547e+06	28985	101259	111.782
4	5.08715e+06	29920	101589	89.949
4	5.33476e+06	30855	102093	114.039
4	5.5742e+06	31790	102456	91.6495
